Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
MSA.address,"MSA array probe addresses, $ordering and $controls and $hg38",3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/MSA.address.rda,NA,NA
idatSignature,idat tango address to discriminate array platform,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/idatSignature.rda,NA,NA
probeIDSignature,probe ID to discriminate array platform,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/probeIDSignature.rda,NA,NA
EPICv2.8.SigDF,8 EPICv2 SigDF objects from 4 cell lines for testing purpose,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/EPICv2.8.SigDF.rda,NA,NA
liftOver.EPICv2ToEPIC,Mapping file from EPICv2 to EPIC and HM450,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/liftOver.EPICv2ToEPIC.rda,NA,NA
EPIC.imputationDefault,Cell type dependent imputation default for EPIC array,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/EPIC.imputationDefault.rda,NA,NA
HM450.imputationDefault,Cell type dependent imputation default for HM450 array,3.19,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,4-Jan-2024,Homo sapiens,9606,TRUE,ZhouLab,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/HM450.imputationDefault.rda,NA,NA
genomeInfo.hg38,"Basic information about genome build hg38, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEv36), $cenInfo",3.19,hg38 / GRCh38,RDA,https://www.ncbi.nlm.nih.gov/grc,11-Jan-2024,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/genomeInfo.hg38.rda,NA,NA
genomeInfo.hg19,"Basic information about genome build hg19, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEv19)",3.19,hg19 / GRCh37,RDA,https://www.ncbi.nlm.nih.gov/grc,11-Jan-2024,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/genomeInfo.hg19.rda,NA,NA
genomeInfo.mm10,"Basic information about genome build mm10, including $seqLength, $gapInfo, $cytoBand, $txns (GENCODEvM25)",3.19,mm10 / GRCm38,RDA,https://www.ncbi.nlm.nih.gov/grc,11-Jan-2024,Mus musculus,10090,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.21.1/genomeInfo.mm10.rda,NA,NA
