Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags,Notes
EPIC.1.LNCaP,"EPIC.seg.LNCaP.Rep1, $seg (CNSegment), $sset (SigSet)",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86829,Aug 18 2020,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/EPIC.1.LNCaP.rda,NA,NA
EPIC.5.normal,"EPIC array of 5 normal samples, list of SigSet",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86829,Aug 18 2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/EPIC.5.normal.rda,NA,NA
HM450.10.TCGA.PAAD.normal,"HM450 array of 10 tumor-adjacent normal TCGA samples, matrix (beta values)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,Aug 18 2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,matrix,Rda,sesameData/v1.7.2/HM450.10.TCGA.PAAD.normal.rda,NA,NA
HM450.10.TCGA.BLCA.normal,"HM450 array of 10 tumor-adjacent normal TCGA samples, list of SigSet",3.12,NA,RDA,https://portal.gdc.cancer.gov/,Aug 18 2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.10.TCGA.BLCA.normal.rda,NA,NA
HM450.76.TCGA.matched,"Beta Values in 76 TCGA tumor and matched normal samples assayed on HM450, $betas (matrix), $sampleInfo (data.frame)",3.12,NA,RDA,https://portal.gdc.cancer.gov/,Aug 18 2020,Homo sapiens,9606,TRUE,TCGA,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.76.TCGA.matched.rda,NA,NA
genomeInfo.hg19,"Basic information about genome build hg19, including $seqInfo, $gapInfo, $cytoBand, $gene2txn, $txn2gene, $txns",3.12,hg19 / GRCh37,RDA,https://www.ncbi.nlm.nih.gov/grc,Mar 15 2018,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/genomeInfo.hg19.rda,NA,NA
genomeInfo.hg38,"Basic information about genome build hg38, including $seqInfo, $gapInfo, $cytoBand, $gene2txn, $txn2gene, $txns",3.12,hg38 / GRCh38,RDA,https://www.ncbi.nlm.nih.gov/grc,Mar 15 2018,Homo sapiens,9606,TRUE,GRCh,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/genomeInfo.hg38.rda,NA,NA
EPIC.hg19.manifest,Annotated manifest of EPIC array on hg19,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/EPIC.hg19.manifest.rda,NA,NA
EPIC.hg38.manifest,Annotated manifest of EPIC array on hg38,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/EPIC.hg38.manifest.rda,NA,NA
HM27.hg19.manifest,Annotated manifest of HM450 array on hg19,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/HM27.hg19.manifest.rda,NA,NA
HM27.hg38.manifest,Annotated manifest of HM450 array on hg38,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/HM27.hg38.manifest.rda,NA,NA
HM450.hg19.manifest,Annotated manifest of HM27 array on hg19,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/HM450.hg19.manifest.rda,NA,NA
HM450.hg38.manifest,Annotated manifest of HM27 array on hg38,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Sep 9th 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,GRanges,Rda,sesameData/v1.7.2/HM450.hg38.manifest.rda,NA,NA
EPIC.probeInfo,"Basic information about probe design on EPIC platform, including $probe2chr.hg19 (factor), $mapped.probes.hg19 (GRanges), $mapped.probes.hg38 (GRanges), $typeI.extC (character), $typeI.extT (character), $mask (character), $chrY.clean (character), $chrX.xlinked (character), $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 15 2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/EPIC.probeInfo.rda,NA,NA
HM450.probeInfo,"Basic information about probe design on HM450 platform, including $probe2chr.hg19, $mapped.probes.hg19, $mapped.probes.hg38, $typeI.extC, $typeI.extT, $mask, $mask.tcga, $chrY.clean, $chrX.xlinked, $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 15 2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM450.probeInfo.rda,NA,NA
HM27.probeInfo,"Basic information about probe design on HM27 platform, including $probe2chr.hg19, $mask, $mask.hg19 (character)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 15 2018,Homo sapiens,9606,TRUE,Illumina Inc,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/HM27.probeInfo.rda,NA,NA
leukocyte.betas,"Reference methylation status in beta values, including $EPIC (matrix), $HM450 (matrix), $HM27 (matrix)",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145254,Mar 15 2018,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/leukocyte.betas.rda,NA,NA
ref.methylation,"Reference methylation status in binary, including cellref.CD14Monocytes, cellref.CD19B, cellref.CD4T, cellref.CD56NK, cellref.CD8T, cellref.buccal, cellref.eosinophil, cellref.granulocytes, cellref.hair, cellref.liver, cellref.muscle, cellref.neutrophil, cellref.omentum, cellref.saliva, cellref.scFat, cellref.skin, cellref.spleen. Each is a numeric (betas).",3.12,NA,RDA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35069,Mar 15 2018,Homo sapiens,9606,TRUE,GEO,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/ref.methylation.rda,NA,NA
age.inference,"Age Predictors, $Horvath353 based on Horvath 2013. Data frame of 353 rows each corresponding a probe. Columns include probe IDs and regression coefficients. The data is adapted from Horvath 2013 Genome Biology, $SkinBlood based on Skin and Blood age predictor developed in Horvath et al. 2018 Aging. ; $PhenoAge based on phenotypic age developed in Levine et al. 2018 Aging.",3.12,NA,RDA,https://labs.genetics.ucla.edu/horvath/htdocs/dnamage/,Sep 17 2018,Homo sapiens,9606,TRUE,Steve Horvath,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/age.inference.rda,NA,NA
ethnicity.inference,"Ethnicity inference data, including $ccs.probes (character), $rs.probes (character), $model (randomForest)",3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 15 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,list,Rda,sesameData/v1.7.2/ethnicity.inference.rda,NA,NA
sex.inference,Sex inference model,3.12,NA,RDA,http://zwdzwd.github.io/InfiniumAnnotation,Mar 15 2018,Homo sapiens,9606,TRUE,Wanding Zhou <zhouwanding@gmail.com>,Wanding Zhou <zhouwanding@gmail.com>,randomForest,Rda,sesameData/v1.7.2/sex.inference.rda,NA,NA
